sum_elem_nutr_score,sum_mid_nutr_score,sum_elem_ne_scores,sum_mid_ne_scores,sum_elem_pa_scores,sum_mid_pa_scores,total_elem_wp,total_mid_wp,three_mean_edfa_ela,three_mean_edfa_math,four_mean_edfa_ela,four_mean_edfa_math,five_mean_edfa_ela,five_mean_edfa_math,six_mean_edfa_ela,six_mean_edfa_math,seven_mean_edfa_ela,seven_mean_edfa_math,eight_mean_edfa_ela,eight_mean_edfa_math
27,25,29,23,28,28,84,76,0.2831223,-0.11082167,0.22315305,0.099511385,-0.46257573,-0.29931134,-0.074225053,-0.35700455,-0.11566031,-0.17686011,-0.40573573,-0.17818977
25,25,22,23,34,30,81,78,,,-0.2300033,,,,,,0.27620974,-0.50994545,,
16,25,31,31,21,14,68,70,-0.21476443,-0.087614052,-0.50427562,-0.51890272,-0.55144775,-0.57342279,-0.30302429,-0.50607353,-0.53550172,-0.59173369,-0.49118173,-0.58311188
17,23,35,36,33,35,85,94,0.42208758,0.72783357,0.22302434,0.63230556,-0.072027899,-0.058123574,0.011141481,0.07945358,-0.58068717,-0.63331652,-0.23412746,-0.20574114
21,29,28,29,35,30,84,88,-0.035594188,0.37421948,,,0.084018536,-0.018544938,0.16052556,0.35034478,0.41158557,0.80805039,0.5920794,-0.11555771
17,17,33,30,35,26,85,73,,,,,,,,,-0.34090871,-0.40287787,,
14,14,21,21,28,22,63,57,0.053712375,0.30584559,-0.048215549,-0.53170085,0.3935051,-0.010067591,0.11214878,-0.26335984,-0.070582338,-0.07627517,0.22960237,-0.042550385
53,44,48,41,41,31,142,116,0.30669287,0.32975414,0.16408569,0.11754134,0.39675552,0.35885704,0.44536281,0.24100144,0.4674767,0.19004364,0.51578081,0.41296697
22,27,24,21,35,30,81,78,-0.12335787,0.005331832,-0.099611595,-0.25497645,0.17744982,0.19482018,-0.25170386,0.06200416,-0.012588192,0.46413356,0.1006124,0.20119086
17,18,10,13,29,28,56,59,0.078291826,0.50803334,0.11231477,0.1226168,0.27569288,0.31564927,-0.31695205,-0.4730956,0.075413063,-0.001374841,0.069853336,-0.005899892
23,41,38,38,28,19,89,98,-0.11398485,0.28553602,-0.35458532,-0.19484425,0.36952269,0.45408618,-0.53510135,-0.40523964,-0.3601383,-0.51896924,-0.33542782,-0.39583793
26,38,34,32,35,34,95,104,,,,,-0.31760517,0.17669021,,,,,-0.34645376,0.38534704
21,34,32,33,24,19,77,86,0.33670452,0.37209088,0.25940537,0.26603138,0.15061536,0.19139719,0.23693873,0.39652523,0.37964755,0.11195942,0.31194806,0.23427005
41,41,41,37,34,28,116,106,0.000196219,-0.064307943,0.15190288,-0.015317767,0.10609324,-0.10963664,0.28353381,0.27199134,0.28535664,0.38154596,0.040927321,0.22543541
26,30,29,29,40,32,95,91,-0.17434381,-0.26813635,,,,,,,-0.38111985,-0.002401727,-0.20077255,-0.032575931
23,28,29,21,39,20,91,69,0.28904924,0.060631007,0.19539608,0.17639901,0.27598277,0.26082948,0.16328152,0.14217824,-0.13571194,0.28100777,0.19224969,0.43908104
23,37,21,24,31,22,75,83,-0.16117176,-0.3565636,-0.42392218,-0.53499097,-0.45436433,-0.1257108,-0.027472138,0.006971255,-0.2607803,0.1576428,-0.018381227,-0.048242263
18,28,29,29,31,27,78,84,-0.45562455,-0.39926308,0.053375058,0.050503213,-0.63250571,-0.31586444,-0.061255313,0.29142568,0.10031881,0.002803413,-0.22215411,-0.36262181
32,26,15,10,15,14,62,50,-0.26360029,-0.38115802,0.042328969,0.26501223,-0.1848774,-0.42228946,-0.1207485,-0.47189042,0.043824397,0.019996386,-0.26007062,-0.006748773
20,35,35,27,37,27,92,89,0.057756551,0.015599143,-0.029872835,-0.20109989,-0.030468453,0.045454428,-0.072652288,-0.25538713,0.091533802,-0.082529701,0.065094925,0.13356397
