total_elem_nutr,total_mid_nutr,total_elem_ne,total_mid_ne,total_elem_pa,total_mid_pa,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
25,33,33,33,34,32,,,-0.40907103,-0.97437572,-0.41983865,-0.263933297,-0.072955204,-0.363935625,0.61209911,-0.25066388,,
13,18,17,17,7,8,-0.05887963,0.11742552,0.122810601,0.400803917,-0.075150567,0.044010233,-0.41669822,0.160824121,-0.438720234,-0.368090868,-0.07704966,-0.277592126
36,55,36,26,37,31,0.04713737,-0.142916996,-0.27934059,-0.228653296,0.068371061,0.130890988,0.127412679,-0.13856266,-0.23662059,-0.406055388,0.05076729,0.31701252
26,29,24,26,40,36,-0.18716299,-0.10059394,0.0222281,0.16215118,-0.379435715,-0.163788676,0.51892625,0.51623067,0.336988666,0.51480325,-0.172518685,-0.23913687
43,34,26,20,31,28,0.46972338,0.61464359,-0.173444708,-0.163390523,-0.052190463,-0.36731889,0.348221661,0.47435182,0.243174692,0.092839625,-0.131488187,-0.259911134
22,29,36,34,29,21,-0.02744996,0.03496918,0.177630356,0.095391209,0.078749426,0.46103416,-0.199638842,0.276723749,-0.44371649,-0.234734345,0.269320189,0.13056039
34,44,44,42,29,15,0.0394879,0.13465103,0.12187922,0.18324152,0.05830878,0.09210112,-0.03074008,0.01182001,0.01660806,0.07642159,-0.04753619,-0.05056858
30,34,37,34,33,20,0.21939194,0.53968061,0.194519353,-0.138478689,0.16428823,-0.24779206,0.281880719,0.159994681,0.343399037,0.03452417,0.322403579,0.209533871
31,31,21,21,26,21,-0.34630138,-0.1366998,0.341275457,0.27565163,0.123371893,-0.095548918,0.27546132,0.361071996,0.020866143,0.39827002,-0.173663324,0.14803061
23,23,24,22,27,24,-0.323152734,-0.594978489,0.085121267,0.22774903,-0.073958583,-0.22436716,-0.054634346,0.03541467,-0.10402029,-0.0183394,0.04583883,0.0836927
19,19,21,21,38,22,0.326520781,0.400236246,-0.078853905,0.029877641,0.50457939,0.53076257,0.05841267,0.194545044,0.2504489,0.03004831,0.352046862,0.41827433
17,,29,,29,,-0.11323044,-0.28753242,-0.286449521,-0.209578288,-0.268815649,-0.06299601,-0.18511137,-0.165016097,0.06529448,-0.30763779,0.13125135,0.01269055
32,33,26,24,34,27,0.89386404,0.50354207,0.27557844,0.26599413,0.14401385,-0.329276,,,,,0.32555075,0.38886434
15,16,30,28,27,23,0.25087727,0.409130949,0.49913265,0.250215466,0.16660817,0.07158854,0.059077647,-0.00534372,0.087493389,0.12623713,0.19442094,0.24899433
41,44,44,38,30,18,-0.122472163,-0.21421148,-0.32032938,-0.26853317,0.030324426,0.00046559,0.00662649,0.088271718,0.00213649,0.02953504,0.11530976,0.16779241
39,39,38,35,28,24,-0.05055486,0.090119141,0.02691757,0.03586035,0.04018646,0.29967789,0.01104799,0.062541272,0.09211916,0.029439982,0.00225061,0.007877463
27,42,19,19,20,22,-0.39228522,-0.32436922,-0.20291189,-0.00560871,0.0418297,0.05039281,0.08979457,0.17386687,-0.17786601,0.00460318,-0.08003643,-0.02524051
31,34,24,24,33,27,0.00638594,-0.11143789,0.117007758,0.56750575,-0.39872372,-0.38981975,0.167250485,-0.11224621,-0.053941585,0.3191469,0.03522752,-0.14551437
27,25,29,23,28,28,-0.06423157,0.41739399,0.31879783,-0.075377686,0.27940131,-0.06457752,0.202474023,0.17200404,-0.24865207,-0.22369768,0.7939896,0.086402514
25,25,22,23,34,30,,,0.2300033,,,,,,-0.27620974,0.50994545,0.35407645,-0.29898223
16,25,31,31,21,14,0.03766712,0.031396478,0.09287614,0.10392487,0.09392455,0.16323865,-0.04996798,0.15146556,0.15272266,0.11051449,0.05752948,-0.08276183
17,23,35,36,33,35,-0.22686481,-0.645593801,0.18575868,0.08972031,-0.019491591,-0.187367496,0.135922909,-0.144724443,0.14269406,0.57310418,-0.10000742,0.02684224
21,29,28,29,35,30,0.453799418,0.16499424,-0.17921662,0.25223991,-0.084018536,0.018544938,0.05934244,-0.276463459,-0.12486616,-0.62522877,-0.24363527,0.046528677
53,44,48,41,41,31,-0.08314833,-0.20602156,-0.104009446,-0.00352326,-0.2255206,-0.25857501,0.21328884,0.01735594,0.07658407,0.36105697,-0.18030253,0.25396293
22,27,24,21,35,30,0.211774357,0.227883138,0.266152275,0.36015904,-0.214230233,-0.06957324,0.325710745,-0.21978819,0.274069592,-0.23148882,-0.082786064,0.11017492
17,18,10,13,29,28,0.007308871,-0.472710894,0.04487275,0.18309435,0.05783424,0.05001766,0.72311741,0.48859714,-0.267491673,-0.311640859,0.086040974,-0.252263498
23,41,38,38,28,19,-0.15594527,-0.51906399,0.9216322,0.33786095,-0.6960378,-0.74078995,0.76448242,0.467820307,0.15695504,0.492220311,0.309218676,0.20304596
26,38,34,32,35,34,,,,,0.31760517,-0.17669021,-0.34847099,-0.08907456,,,0.34645376,-0.38534704
21,34,32,33,24,19,-0.11472602,0.00955632,-0.02857123,0.03654638,-0.052403565,0.0734517,0.15236653,-0.01371699,-0.00512913,0.0191967,0.11302257,0.06522416
41,41,41,37,34,28,0.111614311,0.304366143,-0.02517744,-0.003102452,0.10870026,0.22025032,-0.00270131,0.0564293,0.00303093,-0.00893956,0.153962699,-0.01439858
26,30,29,29,40,32,1.14528416,0.5491898,0.1064527,0.22027299,,,,,0.38111985,0.002401727,-0.23277435,-0.114141349
23,28,29,21,39,20,-0.311786903,0.009186529,-0.02786224,0.17025925,-0.261163811,-0.4916725,0.3013833,0.19072216,0.179854942,-0.01458618,-0.33986387,-0.30004137
23,37,21,24,31,22,-0.50665054,-0.27312532,0.29180866,0.617440123,0.358304352,-0.03675546,-0.199281122,0.124466865,0.242023158,0.19338761,-0.01311503,0.353368483
18,28,29,29,31,27,0.84049714,0.57133673,0.066567252,-0.021151174,0.77948385,0.49696523,0.279401193,0.02456119,-0.032850822,0.190402827,0.321807049,0.19782221
32,26,15,10,15,14,0.27596073,0.309896107,-0.252848599,-0.41075375,-0.03311844,-0.01628628,-0.08119523,0.06906933,-0.349507087,-0.693025456,0.241163159,-0.067574181
20,35,35,27,37,27,-0.126036764,-0.059448473,-0.117118855,-0.07229714,-0.211341497,-0.465712558,-1.103488612,-0.73175144,-1.316361602,-0.840512479,-1.159376325,-1.03926656
31,22,34,34,35,30,0.20647655,-0.42878025,-0.21254322,-0.14073425,-0.287281735,-0.183264674,-0.01406786,0.068269687,-0.243426208,0.16543387,-0.342222781,-0.446447264
